APPOINTMENTID,APPOINTMENTDATE,APPOINTMENTSTARTTIME,APPOINTMENTDURATION,PROVIDERID
293668,2025-01-30,12:00:00,10,287
293988,2025-01-30,19:00:00,10,248
293996,2025-01-30,15:45:00,10,263
293800,2025-01-30,10:40:00,20,337
293919,2025-01-30,14:45:00,10,103
293933,2025-01-30,12:45:00,10,289
294132,2025-01-30,18:30:00,10,289
292555,2025-01-28,14:15:00,10,221
292468,2025-01-28,13:30:00,10,221
292649,2025-01-28,17:15:00,10,248
292413,2025-01-28,16:00:00,10,289
292792,2025-01-28,14:45:00,10,103
292901,2025-01-28,17:30:00,10,248
292432,2025-01-28,11:15:00,10,119
292589,2025-01-29,13:45:00,10,289
292818,2025-01-28,16:30:00,10,297
292988,2025-01-29,13:30:00,10,201
292779,2025-01-28,14:15:00,10,168
292839,2025-01-30,15:50:00,20,100
292703,2025-01-30,08:50:00,20,100
292978,2025-01-30,15:00:00,20,116
292812,2025-01-29,11:00:00,20,341
292829,2025-01-28,19:15:00,10,103
292806,2025-01-30,09:00:00,20,116
292752,2025-01-28,16:00:00,10,282
292538,2025-01-29,08:30:00,10,100
292980,2025-01-28,18:00:00,10,289
292958,2025-01-29,12:00:00,10,201
275515,2025-01-31,13:00:00,20,236
275652,2025-01-30,19:00:00,20,286
259554,2025-01-31,17:00:00,20,286
268733,2025-01-28,15:00:00,20,104
216163,2025-01-28,12:40:00,20,104
278408,2025-01-31,12:00:00,20,233
292981,2025-01-29,17:30:00,10,168
292409,2025-01-30,17:45:00,10,168
292963,2025-01-30,19:40:00,20,204
293078,2025-01-29,21:00:00,10,168
293852,2025-01-30,15:20:00,20,314
293754,2025-01-30,13:15:00,10,289
294071,2025-01-30,17:50:00,10,100
293973,2025-01-30,15:55:00,10,100
293690,2025-01-30,08:40:00,20,236
293875,2025-01-30,16:45:00,10,289
294200,2025-01-31,12:20:00,20,104
293978,2025-01-31,08:15:00,10,263
293961,2025-01-31,16:30:00,10,108
293777,2025-01-31,09:15:00,10,103
293958,2025-01-30,13:45:00,10,221
294176,2025-01-31,16:45:00,10,108
293426,2025-01-29,16:00:00,10,248
293112,2025-01-29,11:20:00,20,337
293464,2025-01-29,16:15:00,10,263
293184,2025-01-29,10:15:00,10,100
293495,2025-01-29,15:40:00,20,116
293519,2025-01-30,10:45:00,10,248
293164,2025-01-30,15:40:00,20,100
293433,2025-01-30,12:30:00,10,248
293584,2025-01-30,14:20:00,10,100
293600,2025-01-30,19:00:00,20,204
293194,2025-01-29,16:00:00,20,116
293434,2025-01-30,09:30:00,10,248
293567,2025-01-30,08:15:00,10,263
293617,2025-01-31,09:20:00,20,398
293659,2025-01-31,11:45:00,10,108
293341,2025-01-29,11:45:00,10,263
293410,2025-01-29,14:30:00,10,248
293186,2025-01-29,17:45:00,10,108
293342,2025-01-29,12:45:00,10,201
293274,2025-01-29,11:00:00,20,119
293185,2025-01-29,17:45:00,10,108
293100,2025-01-29,09:30:00,30,119
293459,2025-01-29,15:00:00,10,263
293196,2025-01-29,18:15:00,10,108
293094,2025-01-30,11:15:00,10,263
293517,2025-01-30,12:00:00,20,337
293195,2025-01-30,15:20:00,20,116
293454,2025-01-30,15:20:00,20,161
293602,2025-01-30,17:30:00,10,289
293640,2025-01-30,13:30:00,10,289
293149,2025-01-29,16:45:00,10,289
292531,2025-01-28,11:00:00,10,119
292887,2025-01-28,16:29:00,20,287
293301,2025-01-29,14:40:00,20,104
293300,2025-01-29,12:40:00,20,104
293653,2025-01-30,12:15:00,10,168
292740,2025-01-31,12:15:00,10,103
292728,2025-01-31,13:15:00,10,103
292878,2025-01-31,18:20:00,20,286
292620,2025-01-28,15:00:00,10,289
292532,2025-01-28,10:45:00,10,119
292414,2025-01-29,21:40:00,20,118
292797,2025-01-28,16:20:00,20,116
292848,2025-01-28,17:15:00,10,289
292580,2025-01-28,12:00:00,20,104
292923,2025-01-29,08:00:00,20,100
293043,2025-01-30,14:50:00,20,100
292850,2025-01-30,10:30:00,10,103
292593,2025-01-30,08:40:00,20,100
292969,2025-01-29,10:00:00,10,201
292904,2025-01-29,13:40:00,20,116
292803,2025-01-29,10:20:00,20,116
292512,2025-01-28,13:45:00,10,289
292985,2025-01-29,08:00:00,10,263
292847,2025-01-28,17:15:00,10,103
293456,2025-01-29,14:15:00,10,168
293388,2025-01-29,19:00:00,10,108
293375,2025-01-30,15:30:00,10,374
293040,2025-01-29,17:00:00,10,108
293082,2025-01-29,18:00:00,20,233
292267,2025-01-27,16:35:00,10,263
291985,2025-01-27,12:00:00,20,337
292048,2025-01-27,11:00:00,20,119
291999,2025-01-27,10:00:00,20,337
291922,2025-01-27,09:15:00,10,263
291958,2025-01-28,11:20:00,20,270
292229,2025-01-27,15:30:00,10,248
292146,2025-01-28,12:20:00,20,236
291946,2025-01-27,17:20:00,20,116
292391,2025-01-29,16:45:00,10,108
292035,2025-01-27,18:20:00,20,288
292211,2025-01-27,15:00:00,10,374
291950,2025-01-28,20:00:00,20,116
292185,2025-01-28,13:20:00,20,116
292216,2025-01-28,10:00:00,10,374
292033,2025-01-27,19:00:00,10,289
292085,2025-01-27,18:15:00,10,289
291961,2025-01-27,14:00:00,30,119
292860,2025-01-30,14:40:00,20,314
291978,2025-01-30,13:40:00,20,116
292276,2025-01-30,10:40:00,20,116
292134,2025-01-29,12:20:00,20,116
292071,2025-01-29,15:00:00,20,116
292315,2025-01-30,13:15:00,10,103
292222,2025-01-30,08:30:00,10,100
292345,2025-01-30,17:30:00,10,103
292347,2025-01-27,18:40:00,20,376
292377,2025-01-27,19:31:00,10,289
292217,2025-01-28,14:00:00,10,201
292383,2025-01-28,11:00:00,10,168
292075,2025-01-28,18:15:00,10,103
292190,2025-01-28,11:00:00,10,103
292090,2025-01-28,12:30:00,10,289
292094,2025-01-28,13:15:00,10,289
292341,2025-01-28,10:15:00,10,100
291948,2025-01-27,16:00:00,20,116
291514,2025-01-24,16:30:00,10,108
291658,2025-01-26,11:40:00,20,118
291398,2025-01-25,07:45:00,10,263
291528,2025-01-24,16:30:00,10,103
291441,2025-01-24,15:45:00,10,108
291681,2025-01-27,17:20:00,10,108
291454,2025-01-24,13:45:00,10,168
291498,2025-01-27,12:45:00,10,201
291677,2025-01-27,17:30:00,10,108
291652,2025-01-27,18:30:00,10,108
291678,2025-01-27,17:45:00,10,108
291552,2025-01-28,12:15:00,10,248
291472,2025-01-28,09:45:00,10,289
291543,2025-01-27,16:00:00,10,248
291540,2025-01-27,11:30:00,10,248
291442,2025-01-24,22:00:00,20,118
292273,2025-01-27,18:40:00,20,288
292386,2025-01-28,16:45:00,10,168
291611,2025-01-29,18:45:00,10,289
291515,2025-01-24,12:30:00,60,270
291436,2025-01-27,18:00:00,20,288
291508,2025-01-27,18:00:00,10,108
291635,2025-01-24,16:30:00,60,118
291529,2025-01-24,16:15:00,10,103
291662,2025-01-27,19:00:00,10,103
291844,2025-01-27,07:15:00,10,263
